in s,C1 in V
-3.2632200E-04,-2.01525E+00
-3.2630800E-04,-2.01525E+00
-3.2629400E-04,-2.01525E+00
-3.2628000E-04,-1.99923E+00
-3.2626600E-04,-2.00724E+00
-3.2625200E-04,-2.00724E+00
-3.2623800E-04,-2.02325E+00
-3.2622400E-04,-2.02325E+00
-3.2621000E-04,-2.00724E+00
-3.2619600E-04,-1.99923E+00
-3.2618200E-04,-2.00724E+00
-3.2616800E-04,-2.02325E+00
-3.2615400E-04,-1.99923E+00
-3.2614000E-04,-1.99122E+00
-3.2612600E-04,-2.01525E+00
-3.2611200E-04,-1.99122E+00
-3.2609800E-04,-2.01525E+00
-3.2608400E-04,-2.00724E+00
-3.2607000E-04,-2.00724E+00
-3.2605600E-04,-1.98321E+00
-3.2604200E-04,-1.99923E+00
-3.2602800E-04,-2.00724E+00
-3.2601400E-04,-2.02325E+00
-3.2600000E-04,-2.03126E+00
-3.2598600E-04,-1.98321E+00
-3.2597200E-04,-2.00724E+00
-3.2595800E-04,-2.00724E+00
-3.2594400E-04,-2.00724E+00
-3.2593000E-04,-1.99122E+00
-3.2591600E-04,-2.00724E+00
-3.2590200E-04,-2.01525E+00
-3.2588800E-04,-1.99923E+00
-3.2587400E-04,-2.02325E+00
-3.2586000E-04,-2.00724E+00
-3.2584600E-04,-2.00724E+00
-3.2583200E-04,-2.00724E+00
-3.2581800E-04,-1.99923E+00
-3.2580400E-04,-1.99923E+00
-3.2579000E-04,-1.99122E+00
-3.2577600E-04,-1.97521E+00
-3.2576200E-04,-2.00724E+00
-3.2574800E-04,-2.00724E+00
-3.2573400E-04,-2.00724E+00
-3.2572000E-04,-2.00724E+00
-3.2570600E-04,-1.99923E+00
-3.2569200E-04,-2.00724E+00
-3.2567800E-04,-2.03126E+00
-3.2566400E-04,-2.00724E+00
-3.2565000E-04,-2.01525E+00
-3.2563600E-04,-2.03126E+00
-3.2562200E-04,-2.01525E+00
-3.2560800E-04,-2.00724E+00
-3.2559400E-04,-1.99923E+00
-3.2558000E-04,-1.99923E+00
-3.2556600E-04,-2.00724E+00
-3.2555200E-04,-1.98321E+00
-3.2553800E-04,-2.00724E+00
-3.2552400E-04,-2.01525E+00
-3.2551000E-04,-2.01525E+00
-3.2549600E-04,-1.99923E+00
-3.2548200E-04,-2.00724E+00
-3.2546800E-04,-2.01525E+00
-3.2545400E-04,-2.02325E+00
-3.2544000E-04,-2.01525E+00
-3.2542600E-04,-2.00724E+00
-3.2541200E-04,-2.00724E+00
-3.2539800E-04,-2.03126E+00
-3.2538400E-04,-2.01525E+00
-3.2537000E-04,-2.01525E+00
-3.2535600E-04,-2.00724E+00
-3.2534200E-04,-1.99122E+00
-3.2532800E-04,-2.00724E+00
-3.2531400E-04,-1.99923E+00
-3.2530000E-04,-2.00724E+00
-3.2528600E-04,-2.00724E+00
-3.2527200E-04,-2.00724E+00
-3.2525800E-04,-1.99923E+00
-3.2524400E-04,-2.00724E+00
-3.2523000E-04,-2.00724E+00
-3.2521600E-04,-1.99122E+00
-3.2520200E-04,-2.01525E+00
-3.2518800E-04,-2.00724E+00
-3.2517400E-04,-2.03927E+00
-3.2516000E-04,-2.01525E+00
-3.2514600E-04,-1.99923E+00
-3.2513200E-04,-2.02325E+00
-3.2511800E-04,-2.03126E+00
-3.2510400E-04,-2.01525E+00
-3.2509000E-04,-2.00724E+00
-3.2507600E-04,-1.99923E+00
-3.2506200E-04,-2.00724E+00
-3.2504800E-04,-2.03126E+00
-3.2503400E-04,-1.99923E+00
-3.2502000E-04,-1.99122E+00
-3.2500600E-04,-1.99923E+00
-3.2499200E-04,-2.03126E+00
-3.2497800E-04,-2.03126E+00
-3.2496400E-04,-2.00724E+00
-3.2495000E-04,-2.02325E+00
-3.2493600E-04,-2.03126E+00
-3.2492200E-04,-1.99122E+00
-3.2490800E-04,-2.00724E+00
-3.2489400E-04,-2.01525E+00
-3.2488000E-04,-2.00724E+00
-3.2486600E-04,-1.99923E+00
-3.2485200E-04,-1.99923E+00
-3.2483800E-04,-2.00724E+00
-3.2482400E-04,-2.00724E+00
-3.2481000E-04,-1.99923E+00
-3.2479600E-04,-2.00724E+00
-3.2478200E-04,-1.99122E+00
-3.2476800E-04,-2.02325E+00
-3.2475400E-04,-2.01525E+00
-3.2474000E-04,-2.00724E+00
-3.2472600E-04,-1.99923E+00
-3.2471200E-04,-1.99923E+00
-3.2469800E-04,-2.00724E+00
-3.2468400E-04,-2.02325E+00
-3.2467000E-04,-1.99923E+00
-3.2465600E-04,-1.99122E+00
-3.2464200E-04,-1.99923E+00
-3.2462800E-04,-2.00724E+00
-3.2461400E-04,-2.02325E+00
-3.2460000E-04,-1.99122E+00
-3.2458600E-04,-2.04728E+00
-3.2457200E-04,-1.99923E+00
-3.2455800E-04,-2.01525E+00
-3.2454400E-04,-1.99923E+00
-3.2453000E-04,-2.01525E+00
-3.2451600E-04,-2.04728E+00
-3.2450200E-04,-1.99923E+00
-3.2448800E-04,-2.01525E+00
-3.2447400E-04,-1.99923E+00
-3.2446000E-04,-2.02325E+00
-3.2444600E-04,-2.01525E+00
-3.2443200E-04,-1.99923E+00
-3.2441800E-04,-2.00724E+00
-3.2440400E-04,-2.00724E+00
-3.2439000E-04,-1.98321E+00
-3.2437600E-04,-2.00724E+00
-3.2436200E-04,-2.00724E+00
-3.2434800E-04,-2.00724E+00
-3.2433400E-04,-2.00724E+00
-3.2432000E-04,-2.00724E+00
-3.2430600E-04,-1.99923E+00
-3.2429200E-04,-2.02325E+00
-3.2427800E-04,-2.03927E+00
-3.2426400E-04,-1.99923E+00
-3.2425000E-04,-1.99122E+00
-3.2423600E-04,-2.00724E+00
-3.2422200E-04,-1.99122E+00
-3.2420800E-04,-1.99923E+00
-3.2419400E-04,-2.00724E+00
-3.2418000E-04,-2.01525E+00
-3.2416600E-04,-2.01525E+00
-3.2415200E-04,-2.00724E+00
-3.2413800E-04,-2.00724E+00
-3.2412400E-04,-2.00724E+00
-3.2411000E-04,-2.01525E+00
-3.2409600E-04,-2.01525E+00
-3.2408200E-04,-2.02325E+00
-3.2406800E-04,-2.03126E+00
-3.2405400E-04,-2.03927E+00
-3.2404000E-04,-2.00724E+00
-3.2402600E-04,-1.99122E+00
-3.2401200E-04,-2.03126E+00
-3.2399800E-04,-2.00724E+00
-3.2398400E-04,-1.99923E+00
-3.2397000E-04,-2.03927E+00
-3.2395600E-04,-1.98321E+00
-3.2394200E-04,-2.01525E+00
-3.2392800E-04,-1.99923E+00
-3.2391400E-04,-2.00724E+00
-3.2390000E-04,-2.00724E+00
-3.2388600E-04,-2.00724E+00
-3.2387200E-04,-1.99923E+00
-3.2385800E-04,-2.02325E+00
-3.2384400E-04,-2.02325E+00
-3.2383000E-04,-1.99122E+00
-3.2381600E-04,-1.99923E+00
-3.2380200E-04,-1.98321E+00
-3.2378800E-04,-1.99923E+00
-3.2377400E-04,-2.00724E+00
-3.2376000E-04,-2.02325E+00
-3.2374600E-04,-2.01525E+00
-3.2373200E-04,-2.00724E+00
-3.2371800E-04,-2.00724E+00
-3.2370400E-04,-2.00724E+00
-3.2369000E-04,-1.99923E+00
-3.2367600E-04,-1.98321E+00
-3.2366200E-04,-2.00724E+00
-3.2364800E-04,-1.97521E+00
-3.2363400E-04,-2.02325E+00
-3.2362000E-04,-1.99923E+00
-3.2360600E-04,-2.02325E+00
-3.2359200E-04,-2.01525E+00
-3.2357800E-04,-1.99122E+00
-3.2356400E-04,-2.02325E+00
-3.2355000E-04,-2.00724E+00
-3.2353600E-04,-2.01525E+00
-3.2352200E-04,-2.00724E+00
-3.2350800E-04,-2.00724E+00
-3.2349400E-04,-2.00724E+00
-3.2348000E-04,-2.00724E+00
-3.2346600E-04,-2.01525E+00
-3.2345200E-04,-2.00724E+00
-3.2343800E-04,-2.00724E+00
-3.2342400E-04,-2.00724E+00
-3.2341000E-04,-2.01525E+00
-3.2339600E-04,-2.01525E+00
-3.2338200E-04,-2.00724E+00
-3.2336800E-04,-2.03126E+00
-3.2335400E-04,-2.02325E+00
-3.2334000E-04,-2.00724E+00
-3.2332600E-04,-2.00724E+00
-3.2331200E-04,-2.01525E+00
-3.2329800E-04,-2.00724E+00
-3.2328400E-04,-2.00724E+00
-3.2327000E-04,-2.00724E+00
-3.2325600E-04,-1.99923E+00
-3.2324200E-04,-2.01525E+00
-3.2322800E-04,-2.00724E+00
-3.2321400E-04,-2.00724E+00
-3.2320000E-04,-2.01525E+00
-3.2318600E-04,-1.99923E+00
-3.2317200E-04,-2.02325E+00
-3.2315800E-04,-2.03126E+00
-3.2314400E-04,-1.99122E+00
-3.2313000E-04,-2.00724E+00
-3.2311600E-04,-2.00724E+00
-3.2310200E-04,-1.99923E+00
-3.2308800E-04,-2.00724E+00
-3.2307400E-04,-2.00724E+00
-3.2306000E-04,-1.99122E+00
-3.2304600E-04,-2.01525E+00
-3.2303200E-04,-2.00724E+00
-3.2301800E-04,-2.01525E+00
-3.2300400E-04,-1.99923E+00
-3.2299000E-04,-1.99923E+00
-3.2297600E-04,-2.00724E+00
-3.2296200E-04,-1.99923E+00
-3.2294800E-04,-2.01525E+00
-3.2293400E-04,-2.00724E+00
-3.2292000E-04,-2.00724E+00
-3.2290600E-04,-2.00724E+00
-3.2289200E-04,-2.00724E+00
-3.2287800E-04,-1.99122E+00
-3.2286400E-04,-2.01525E+00
-3.2285000E-04,-2.00724E+00
-3.2283600E-04,-2.00724E+00
-3.2282200E-04,-2.00724E+00
-3.2280800E-04,-2.00724E+00
-3.2279400E-04,-2.01525E+00
-3.2278000E-04,-1.99122E+00
-3.2276600E-04,-2.00724E+00
-3.2275200E-04,-1.99122E+00
-3.2273800E-04,-2.03126E+00
-3.2272400E-04,-2.01525E+00
-3.2271000E-04,-1.99122E+00
-3.2269600E-04,-2.00724E+00
-3.2268200E-04,-2.01525E+00
-3.2266800E-04,-1.99923E+00
-3.2265400E-04,-2.02325E+00
-3.2264000E-04,-1.99923E+00
-3.2262600E-04,-2.02325E+00
-3.2261200E-04,-1.98321E+00
-3.2259800E-04,-2.01525E+00
-3.2258400E-04,-2.00724E+00
-3.2257000E-04,-1.99122E+00
