Displacement,Force
30.29999924,-0.300000012
30.20000076,-0.300000012
30,-0.300000012
29.89999962,-0.300000012
29.79999924,-0.300000012
29.70000076,-0.300000012
29.60000038,-0.300000012
29.5,-0.300000012
29.39999962,-0.100000001
29.29999924,-0.100000001
29.20000076,-0.100000001
29.10000038,-0.100000001
29,-0.100000001
28.89999962,-0.100000001
28.79999924,-0.100000001
28.60000038,-0.100000001
28.5,-0.100000001
28.39999962,-0.100000001
28.29999924,-0.100000001
28.10000038,0
27.89999962,0
27.70000076,0
27.70000076,0.100000001
27.60000038,0.100000001
27.5,0.100000001
27.39999962,0.100000001
27.29999924,0.100000001
27.20000076,0.100000001
27.10000038,0.100000001
27,0.100000001
26.89999962,0.100000001
26.79999924,0.100000001
26.70000076,0.100000001
26.60000038,0.100000001
26.5,0.100000001
26.39999962,0.100000001
26.29999924,0.100000001
26.20000076,0.100000001
26.10000038,0.100000001
26,0.100000001
25.89999962,0.100000001
25.79999924,0.100000001
25.70000076,0.100000001
25.60000038,0.100000001
25.5,0.100000001
25.39999962,0.100000001
25.29999924,0.100000001
25.20000076,0.100000001
25.10000038,0.100000001
25,0.100000001
24.89999962,0.100000001
24.79999924,0.100000001
24.70000076,0.100000001
24.60000038,0.100000001
24.5,0.100000001
24.39999962,0.100000001
24.29999924,0.100000001
24.20000076,0.100000001
24.10000038,0.100000001
24,0.100000001
23.89999962,0.100000001
23.79999924,0.100000001
23.70000076,0.200000003
23.60000038,0.200000003
23.5,0.200000003
23.39999962,0.300000012
23.29999924,0.300000012
23.20000076,0.400000006
23.10000038,0.400000006
23,0.400000006
22.89999962,0.400000006
22.79999924,0.5
22.70000076,0.5
22.60000038,0.5
22.5,0.5
22.39999962,0.5
22.29999924,0.5
22.20000076,0.5
22.10000038,0.5
22,0.5
21.89999962,0.5
21.79999924,0.5
21.70000076,0.5
21.60000038,0.5
21.39999962,0.5
21.29999924,0.5
21.10000038,0.5
21,0.600000024
20.89999962,0.699999988
20.79999924,0.699999988
20.70000076,0.800000012
20.60000038,0.800000012
20.5,0.800000012
20.39999962,0.899999976
20.29999924,0.899999976
20.20000076,0.899999976
20,0.899999976
19.89999962,0.899999976
19.79999924,0.899999976
19.70000076,0.899999976
19.60000038,0.899999976
19.5,0.899999976
19.39999962,0.899999976
19.20000076,0.899999976
19.10000038,0.899999976
19,0.899999976
18.89999962,0.899999976
18.79999924,1.100000024
18.70000076,1.100000024
18.60000038,1.100000024
18.60000038,1.200000048
18.5,1.299999952
18.29999924,1.299999952
18.20000076,1.299999952
18,1.299999952
17.89999962,1.299999952
17.79999924,1.299999952
17.70000076,1.299999952
17.60000038,1.399999976
17.5,1.399999976
17.39999962,1.5
17.29999924,1.600000024
17.20000076,1.700000048
17.10000038,1.700000048
17,1.700000048
16.89999962,1.700000048
16.79999924,1.700000048
16.70000076,1.700000048
16.60000038,1.700000048
16.5,1.799999952
16.39999962,1.799999952
16.29999924,2
16.20000076,2.099999905
16.10000038,2.099999905
15.89999962,2.099999905
15.80000019,2.099999905
15.69999981,2.099999905
15.60000038,2.099999905
15.5,2.200000048
15.39999962,2.400000095
15.30000019,2.5
15.19999981,2.5
15.10000038,2.5
15,2.5
14.89999962,2.5
14.80000019,2.599999905
14.69999981,2.700000048
14.60000038,2.799999952
14.60000038,2.900000095
14.5,2.900000095
14.39999962,2.900000095
14.30000019,2.900000095
14.19999981,2.900000095
14.10000038,3
14,3.099999905
13.89999962,3.200000048
13.80000019,3.299999952
13.69999981,3.299999952
13.60000038,3.299999952
13.5,3.299999952
13.39999962,3.400000095
13.30000019,3.5
13.19999981,3.599999905
13.19999981,3.700000048
13,3.700000048
12.89999962,3.700000048
12.69999981,3.900000095
12.60000038,4
12.5,4.099999905
12.39999962,4.099999905
12.30000019,4.099999905
12.30000019,4.199999809
12.19999981,4.400000095
12.10000038,4.5
12,4.5
11.89999962,4.5
11.80000019,4.5
11.80000019,4.699999809
11.60000038,4.800000191
11.5,4.900000095
