Displacement,Force
29.79999924,-1.699999988
29.89999962,-1.699999988
30,-1.699999988
30.10000038,-1.699999988
30.20000076,-1.600000024
30.29999924,-1.600000024
30.29999924,-1.5
30.39999962,-1.5
30.5,-1.5
30.60000038,-1.5
30.70000076,-1.399999976
30.79999924,-1.299999952
30.89999962,-1.299999952
31,-1.299999952
31.10000038,-1.299999952
31.20000076,-1.299999952
31.29999924,-1.299999952
31.39999962,-1.299999952
31.5,-1.299999952
31.60000038,-1.299999952
31.70000076,-1.299999952
31.79999924,-1.299999952
31.89999962,-1.299999952
32,-1.299999952
32.09999847,-1.299999952
32.20000076,-1.299999952
32.29999924,-1.299999952
32.40000153,-1.299999952
32.5,-1.299999952
32.59999847,-1.299999952
32.70000076,-1.299999952
32.79999924,-1.299999952
32.90000153,-1.299999952
33,-1.299999952
33.09999847,-1.299999952
33.20000076,-1.299999952
33.29999924,-1.200000048
33.40000153,-1.200000048
33.5,-1.100000024
33.59999847,-1.100000024
33.70000076,-1.100000024
33.79999924,-1.100000024
33.90000153,-1.100000024
34,-1.100000024
34,-1
34.09999847,-1
34.09999847,-0.899999976
34.20000076,-0.899999976
34.29999924,-0.899999976
34.40000153,-0.899999976
34.5,-0.899999976
34.59999847,-0.899999976
34.70000076,-0.899999976
34.79999924,-0.899999976
34.90000153,-0.899999976
35,-0.899999976
35.09999847,-0.899999976
35.20000076,-0.899999976
35.29999924,-0.899999976
35.40000153,-0.899999976
35.5,-0.899999976
35.59999847,-0.899999976
35.70000076,-0.899999976
35.79999924,-0.899999976
35.90000153,-0.899999976
36,-0.899999976
36.09999847,-0.899999976
36.20000076,-0.899999976
36.29999924,-0.899999976
36.40000153,-0.899999976
36.5,-0.899999976
36.59999847,-0.899999976
36.70000076,-0.899999976
36.79999924,-0.899999976
36.90000153,-0.899999976
37,-0.899999976
37.09999847,-0.899999976
37.20000076,-0.899999976
37.29999924,-0.799999952
37.5,-0.799999952
37.59999847,-0.700000048
37.70000076,-0.700000048
